"Step","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MIN","t5_google_byt5-small_27-06-2023_14-10-24 - train/loss__MAX","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MIN","mt5_google_mt5-small_27-06-2023_06-01-21 - train/loss__MAX","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MIN","mt5_bigscience_mt0-small_27-06-2023_05-48-21 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-one-mmt_26-06-2023_05-32-15 - train/loss__MAX","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MIN","mbart_facebook_mbart-large-50_26-06-2023_05-27-44 - train/loss__MAX","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MIN","mbart_facebook_mbart-large-cc25_25-06-2023_18-25-53 - train/loss__MAX","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MIN","mbart_facebook_mbart-large-50-many-to-many-mmt_25-06-2023_18-16-48 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-en-mul_25-06-2023_18-12-08 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-mul-en_23-06-2023_16-41-26 - train/loss__MAX","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MIN","marian_Helsinki-NLP_opus-mt-zh-vi_23-06-2023_07-58-18 - train/loss__MAX"
"22","","","","0.8292","0.8292","0.8292","0.6646","0.6646","0.6646","","","","","","","","","","","","","0.5862","0.5862","0.5862","0.5427","0.5427","0.5427","0.6817","0.6817","0.6817"
"23","","","","0.7572","0.7572","0.7572","0.6024","0.6024","0.6024","","","","","","","","","","","","","0.5717","0.5717","0.5717","0.5303","0.5303","0.5303","0.6676","0.6676","0.6676"
"24","","","","0.796","0.796","0.796","0.639","0.639","0.639","","","","","","","","","","","","","0.5729","0.5729","0.5729","0.5304","0.5304","0.5304","0.6677","0.6677","0.6677"
"25","","","","0.8013","0.8013","0.8013","0.6444","0.6444","0.6444","","","","","","","","","","","","","0.5686","0.5686","0.5686","0.5244","0.5244","0.5244","0.6627","0.6627","0.6627"
"26","","","","0.8016","0.8016","0.8016","0.6499","0.6499","0.6499","","","","","","","","","","","","","0.5559","0.5559","0.5559","0.5148","0.5148","0.5148","0.6492","0.6492","0.6492"
"27","","","","0.7726","0.7726","0.7726","0.6245","0.6245","0.6245","","","","","","","","","","","","","0.5523","0.5523","0.5523","0.5114","0.5114","0.5114","0.6487","0.6487","0.6487"
"28","","","","0.772","0.772","0.772","0.6211","0.6211","0.6211","","","","","","","","","","","","","0.5553","0.5553","0.5553","0.5162","0.5162","0.5162","0.6524","0.6524","0.6524"
"29","","","","0.8074","0.8074","0.8074","0.65","0.65","0.65","","","","","","","","","","","","","0.5455","0.5455","0.5455","0.5054","0.5054","0.5054","0.6393","0.6393","0.6393"
"30","","","","0.795","0.795","0.795","0.6456","0.6456","0.6456","","","","","","","","","","","","","0.5525","0.5525","0.5525","0.5105","0.5105","0.5105","0.6467","0.6467","0.6467"
"31","","","","0.7983","0.7983","0.7983","0.6469","0.6469","0.6469","","","","","","","","","","","","","0.5429","0.5429","0.5429","0.5013","0.5013","0.5013","0.6365","0.6365","0.6365"
"32","","","","0.794","0.794","0.794","0.6373","0.6373","0.6373","","","","","","","","","","","","","0.5457","0.5457","0.5457","0.5024","0.5024","0.5024","0.6387","0.6387","0.6387"
"33","","","","0.7933","0.7933","0.7933","0.6406","0.6406","0.6406","","","","","","","","","","","","","0.5412","0.5412","0.5412","0.5001","0.5001","0.5001","0.6348","0.6348","0.6348"
"34","","","","0.7718","0.7718","0.7718","0.6228","0.6228","0.6228","","","","","","","","","","","","","0.5408","0.5408","0.5408","0.5013","0.5013","0.5013","0.6333","0.6333","0.6333"
"35","","","","0.7954","0.7954","0.7954","0.6426","0.6426","0.6426","","","","","","","","","","","","","0.5373","0.5373","0.5373","0.4976","0.4976","0.4976","0.6318","0.6318","0.6318"
"36","","","","0.7623","0.7623","0.7623","0.6196","0.6196","0.6196","","","","","","","","","","","","","0.5352","0.5352","0.5352","0.4937","0.4937","0.4937","0.625","0.625","0.625"
"37","","","","0.783","0.783","0.783","0.6332","0.6332","0.6332","","","","","","","","","","","","","0.5293","0.5293","0.5293","0.4895","0.4895","0.4895","0.6185","0.6185","0.6185"
"38","","","","0.756","0.756","0.756","0.6124","0.6124","0.6124","","","","","","","","","","","","","0.5334","0.5334","0.5334","0.4933","0.4933","0.4933","0.6259","0.6259","0.6259"
"39","","","","0.7622","0.7622","0.7622","0.6217","0.6217","0.6217","","","","","","","","","","","","","0.5216","0.5216","0.5216","0.4839","0.4839","0.4839","0.611","0.611","0.611"
"40","","","","0.7195","0.7195","0.7195","0.5893","0.5893","0.5893","","","","","","","","","","","","","0.5262","0.5262","0.5262","0.4875","0.4875","0.4875","0.6182","0.6182","0.6182"
"41","","","","0.7348","0.7348","0.7348","0.6094","0.6094","0.6094","","","","","","","","","","","","","0.5238","0.5238","0.5238","0.4853","0.4853","0.4853","0.6129","0.6129","0.6129"
"42","","","","0.7246","0.7246","0.7246","0.5993","0.5993","0.5993","","","","","","","","","","","","","0.5223","0.5223","0.5223","0.4827","0.4827","0.4827","0.6121","0.6121","0.6121"
"43","","","","0.7471","0.7471","0.7471","0.6192","0.6192","0.6192","","","","","","","","","","","","","0.5257","0.5257","0.5257","0.4864","0.4864","0.4864","0.6136","0.6136","0.6136"
"44","","","","0.7311","0.7311","0.7311","0.6121","0.6121","0.6121","","","","","","","","","","","","","0.5173","0.5173","0.5173","0.4809","0.4809","0.4809","0.6043","0.6043","0.6043"
"45","","","","0.7104","0.7104","0.7104","0.597","0.597","0.597","","","","","","","","","","","","","0.521","0.521","0.521","0.4852","0.4852","0.4852","0.6082","0.6082","0.6082"
"46","","","","0.7016","0.7016","0.7016","0.5916","0.5916","0.5916","","","","","","","","","","","","","0.5056","0.5056","0.5056","0.4683","0.4683","0.4683","0.5928","0.5928","0.5928"
"47","","","","0.7255","0.7255","0.7255","0.6097","0.6097","0.6097","","","","","","","","","","","","","0.4977","0.4977","0.4977","0.4571","0.4571","0.4571","0.5891","0.5891","0.5891"
"48","","","","0.7136","0.7136","0.7136","0.602","0.602","0.602","","","","","","","","","","","","","0.4965","0.4965","0.4965","0.4566","0.4566","0.4566","0.5868","0.5868","0.5868"
"49","","","","0.6982","0.6982","0.6982","0.5962","0.5962","0.5962","","","","","","","","","","","","","0.4992","0.4992","0.4992","0.4604","0.4604","0.4604","0.5887","0.5887","0.5887"
"50","","","","0.7009","0.7009","0.7009","0.5958","0.5958","0.5958","","","","","","","","","","","","","0.5023","0.5023","0.5023","0.4627","0.4627","0.4627","0.5927","0.5927","0.5927"
"51","","","","0.666","0.666","0.666","0.5659","0.5659","0.5659","","","","","","","","","","","","","0.4962","0.4962","0.4962","0.4547","0.4547","0.4547","0.5847","0.5847","0.5847"
"52","","","","0.6893","0.6893","0.6893","0.5912","0.5912","0.5912","","","","","","","","","","","","","0.4912","0.4912","0.4912","0.4531","0.4531","0.4531","0.5806","0.5806","0.5806"
"53","","","","0.6672","0.6672","0.6672","0.5742","0.5742","0.5742","","","","","","","","","","","","","0.4913","0.4913","0.4913","0.4521","0.4521","0.4521","0.5781","0.5781","0.5781"
"54","","","","0.6884","0.6884","0.6884","0.5955","0.5955","0.5955","","","","","","","","","","","","","0.4918","0.4918","0.4918","0.4516","0.4516","0.4516","0.5768","0.5768","0.5768"
"55","","","","0.6793","0.6793","0.6793","0.5894","0.5894","0.5894","","","","","","","","","","","","","0.4972","0.4972","0.4972","0.4581","0.4581","0.4581","0.5842","0.5842","0.5842"
"56","","","","0.6974","0.6974","0.6974","0.6025","0.6025","0.6025","","","","","","","","","","","","","0.4921","0.4921","0.4921","0.4525","0.4525","0.4525","0.5789","0.5789","0.5789"
"57","","","","0.6785","0.6785","0.6785","0.5895","0.5895","0.5895","","","","","","","","","","","","","0.4864","0.4864","0.4864","0.4473","0.4473","0.4473","0.5715","0.5715","0.5715"
"58","","","","0.6979","0.6979","0.6979","0.6087","0.6087","0.6087","","","","","","","","","","","","","0.4873","0.4873","0.4873","0.4493","0.4493","0.4493","0.5704","0.5704","0.5704"
"59","","","","0.6776","0.6776","0.6776","0.5906","0.5906","0.5906","","","","","","","","","","","","","0.4895","0.4895","0.4895","0.4494","0.4494","0.4494","0.5736","0.5736","0.5736"
"60","","","","0.7086","0.7086","0.7086","0.6227","0.6227","0.6227","","","","","","","","","","","","","0.4792","0.4792","0.4792","0.4436","0.4436","0.4436","0.561","0.561","0.561"
"61","","","","0.6714","0.6714","0.6714","0.5869","0.5869","0.5869","","","","","","","","","","","","","0.4787","0.4787","0.4787","0.4414","0.4414","0.4414","0.5606","0.5606","0.5606"
"62","","","","0.6826","0.6826","0.6826","0.6022","0.6022","0.6022","","","","","","","","","","","","","0.4851","0.4851","0.4851","0.4483","0.4483","0.4483","0.5677","0.5677","0.5677"
"63","","","","0.6779","0.6779","0.6779","0.5921","0.5921","0.5921","","","","","","","","","","","","","0.4782","0.4782","0.4782","0.4404","0.4404","0.4404","0.5577","0.5577","0.5577"
"64","","","","0.6605","0.6605","0.6605","0.5848","0.5848","0.5848","","","","","","","","","","","","","0.4847","0.4847","0.4847","0.4464","0.4464","0.4464","0.5639","0.5639","0.5639"
"65","","","","0.653","0.653","0.653","0.5755","0.5755","0.5755","","","","","","","","","","","","","0.4732","0.4732","0.4732","0.4364","0.4364","0.4364","0.5527","0.5527","0.5527"
"66","","","","0.6441","0.6441","0.6441","0.5682","0.5682","0.5682","","","","","","","","","","","","","0.4788","0.4788","0.4788","0.4397","0.4397","0.4397","0.5577","0.5577","0.5577"
"67","","","","0.6522","0.6522","0.6522","0.5791","0.5791","0.5791","","","","","","","","","","","","","0.4811","0.4811","0.4811","0.4431","0.4431","0.4431","0.5634","0.5634","0.5634"
"68","","","","0.6445","0.6445","0.6445","0.5688","0.5688","0.5688","","","","","","","","","","","","","0.4754","0.4754","0.4754","0.4395","0.4395","0.4395","0.5541","0.5541","0.5541"
"69","","","","0.6308","0.6308","0.6308","0.5598","0.5598","0.5598","","","","","","","","","","","","","0.4743","0.4743","0.4743","0.4379","0.4379","0.4379","0.551","0.551","0.551"
"70","","","","0.6377","0.6377","0.6377","0.5649","0.5649","0.5649","","","","","","","","","","","","","0.4751","0.4751","0.4751","0.4385","0.4385","0.4385","0.5543","0.5543","0.5543"
"71","","","","0.6561","0.6561","0.6561","0.5801","0.5801","0.5801","","","","","","","","","","","","","0.4787","0.4787","0.4787","0.441","0.441","0.441","0.5558","0.5558","0.5558"
"72","","","","0.6417","0.6417","0.6417","0.5701","0.5701","0.5701","","","","","","","","","","","","","0.477","0.477","0.477","0.4383","0.4383","0.4383","0.5538","0.5538","0.5538"
"73","","","","0.6209","0.6209","0.6209","0.551","0.551","0.551","","","","","","","","","","","","","0.463","0.463","0.463","0.4268","0.4268","0.4268","0.5353","0.5353","0.5353"
"74","","","","0.633","0.633","0.633","0.5673","0.5673","0.5673","","","","","","","","","","","","","0.4817","0.4817","0.4817","0.4437","0.4437","0.4437","0.5611","0.5611","0.5611"
"75","","","","0.6329","0.6329","0.6329","0.5645","0.5645","0.5645","","","","","","","","","","","","","0.4709","0.4709","0.4709","0.4342","0.4342","0.4342","0.5449","0.5449","0.5449"
"76","","","","0.623","0.623","0.623","0.5613","0.5613","0.5613","","","","","","","","","","","","","0.4761","0.4761","0.4761","0.4374","0.4374","0.4374","0.5511","0.5511","0.5511"
"77","","","","0.6323","0.6323","0.6323","0.5668","0.5668","0.5668","","","","","","","","","","","","","0.4735","0.4735","0.4735","0.4367","0.4367","0.4367","0.5461","0.5461","0.5461"
"78","","","","0.6307","0.6307","0.6307","0.5652","0.5652","0.5652","","","","","","","","","","","","","0.4728","0.4728","0.4728","0.4352","0.4352","0.4352","0.5479","0.5479","0.5479"
"79","","","","0.6326","0.6326","0.6326","0.5641","0.5641","0.5641","","","","","","","","","","","","","0.4757","0.4757","0.4757","0.4393","0.4393","0.4393","0.5536","0.5536","0.5536"
"80","","","","0.6396","0.6396","0.6396","0.576","0.576","0.576","","","","","","","","","","","","","0.4631","0.4631","0.4631","0.4275","0.4275","0.4275","0.5354","0.5354","0.5354"
"81","","","","0.6283","0.6283","0.6283","0.565","0.565","0.565","","","","","","","","","","","","","0.468","0.468","0.468","0.4319","0.4319","0.4319","0.5416","0.5416","0.5416"
"82","","","","0.6417","0.6417","0.6417","0.5762","0.5762","0.5762","","","","","","","","","","","","","0.4702","0.4702","0.4702","0.4334","0.4334","0.4334","0.5443","0.5443","0.5443"
"83","","","","0.64","0.64","0.64","0.5767","0.5767","0.5767","","","","","","","","","","","","","0.4722","0.4722","0.4722","0.4351","0.4351","0.4351","0.546","0.546","0.546"
"84","","","","0.6226","0.6226","0.6226","0.5589","0.5589","0.5589","","","","","","","","","","","","","0.4683","0.4683","0.4683","0.4315","0.4315","0.4315","0.5396","0.5396","0.5396"
"85","","","","0.6269","0.6269","0.6269","0.5641","0.5641","0.5641","","","","","","","","","","","","","0.4665","0.4665","0.4665","0.4311","0.4311","0.4311","0.5381","0.5381","0.5381"
"86","","","","0.6249","0.6249","0.6249","0.564","0.564","0.564","","","","","","","","","","","","","0.4643","0.4643","0.4643","0.4277","0.4277","0.4277","0.5336","0.5336","0.5336"
"87","","","","0.6242","0.6242","0.6242","0.5616","0.5616","0.5616","","","","","","","","","","","","","0.4616","0.4616","0.4616","0.4256","0.4256","0.4256","0.5316","0.5316","0.5316"
"88","","","","0.6193","0.6193","0.6193","0.5591","0.5591","0.5591","","","","","","","","","","","","","0.4616","0.4616","0.4616","0.4244","0.4244","0.4244","0.5314","0.5314","0.5314"
"89","","","","0.6211","0.6211","0.6211","0.5636","0.5636","0.5636","","","","","","","","","","","","","0.4569","0.4569","0.4569","0.4226","0.4226","0.4226","0.5289","0.5289","0.5289"
"90","","","","0.6068","0.6068","0.6068","0.5499","0.5499","0.5499","","","","","","","","","","","","","0.4573","0.4573","0.4573","0.4208","0.4208","0.4208","0.5256","0.5256","0.5256"
"91","","","","0.5943","0.5943","0.5943","0.54","0.54","0.54","","","","","","","","","","","","","0.4548","0.4548","0.4548","0.4186","0.4186","0.4186","0.5224","0.5224","0.5224"
"92","","","","0.6042","0.6042","0.6042","0.5475","0.5475","0.5475","","","","","","","","","","","","","0.4538","0.4538","0.4538","0.4191","0.4191","0.4191","0.5211","0.5211","0.5211"
"93","","","","0.578","0.578","0.578","0.525","0.525","0.525","","","","","","","","","","","","","0.4578","0.4578","0.4578","0.4207","0.4207","0.4207","0.5267","0.5267","0.5267"
"94","","","","0.6114","0.6114","0.6114","0.5569","0.5569","0.5569","","","","","","","","","","","","","0.448","0.448","0.448","0.4086","0.4086","0.4086","0.5188","0.5188","0.5188"
"95","","","","0.6247","0.6247","0.6247","0.5685","0.5685","0.5685","","","","","","","","","","","","","0.4374","0.4374","0.4374","0.4006","0.4006","0.4006","0.5048","0.5048","0.5048"
"96","","","","0.5979","0.5979","0.5979","0.5432","0.5432","0.5432","","","","","","","","","","","","","0.4389","0.4389","0.4389","0.4026","0.4026","0.4026","0.5075","0.5075","0.5075"
"97","","","","0.6167","0.6167","0.6167","0.5625","0.5625","0.5625","","","","","","","","","","","","","0.4316","0.4316","0.4316","0.3967","0.3967","0.3967","0.4986","0.4986","0.4986"
"98","","","","0.6302","0.6302","0.6302","0.574","0.574","0.574","","","","","","","","","","","","","0.4402","0.4402","0.4402","0.403","0.403","0.403","0.508","0.508","0.508"
"99","","","","0.6091","0.6091","0.6091","0.5568","0.5568","0.5568","","","","","","","","","","","","","0.4435","0.4435","0.4435","0.4055","0.4055","0.4055","0.5118","0.5118","0.5118"
"100","","","","0.5988","0.5988","0.5988","0.5418","0.5418","0.5418","","","","","","","","","","","","","0.4405","0.4405","0.4405","0.4042","0.4042","0.4042","0.5079","0.5079","0.5079"
"101","","","","0.6026","0.6026","0.6026","0.5517","0.5517","0.5517","","","","","","","","","","","","","0.4394","0.4394","0.4394","0.4036","0.4036","0.4036","0.5059","0.5059","0.5059"
"102","","","","0.5956","0.5956","0.5956","0.5428","0.5428","0.5428","","","","","","","","","","","","","0.4342","0.4342","0.4342","0.3968","0.3968","0.3968","0.4998","0.4998","0.4998"
"103","","","","0.6123","0.6123","0.6123","0.5577","0.5577","0.5577","","","","","","","","","","","","","0.4472","0.4472","0.4472","0.41","0.41","0.41","0.5158","0.5158","0.5158"
"104","","","","0.5999","0.5999","0.5999","0.5489","0.5489","0.5489","","","","","","","","","","","","","0.4406","0.4406","0.4406","0.404","0.404","0.404","0.5077","0.5077","0.5077"
"105","","","","0.6114","0.6114","0.6114","0.5589","0.5589","0.5589","","","","","","","","","","","","","0.437","0.437","0.437","0.4002","0.4002","0.4002","0.5032","0.5032","0.5032"
"106","","","","0.5984","0.5984","0.5984","0.5468","0.5468","0.5468","","","","","","","","","","","","","0.4389","0.4389","0.4389","0.4014","0.4014","0.4014","0.5038","0.5038","0.5038"
"107","","","","0.5961","0.5961","0.5961","0.5477","0.5477","0.5477","","","","","","","","","","","","","0.433","0.433","0.433","0.397","0.397","0.397","0.4977","0.4977","0.4977"
"108","","","","0.5943","0.5943","0.5943","0.5454","0.5454","0.5454","","","","","","","","","","","","","0.4396","0.4396","0.4396","0.4014","0.4014","0.4014","0.5045","0.5045","0.5045"
"109","","","","0.5834","0.5834","0.5834","0.5346","0.5346","0.5346","","","","","","","","","","","","","0.4329","0.4329","0.4329","0.396","0.396","0.396","0.4959","0.4959","0.4959"
"110","","","","0.5992","0.5992","0.5992","0.5491","0.5491","0.5491","","","","","","","","","","","","","0.4401","0.4401","0.4401","0.4027","0.4027","0.4027","0.5077","0.5077","0.5077"
"111","","","","0.5975","0.5975","0.5975","0.5504","0.5504","0.5504","","","","","","","","","","","","","0.4399","0.4399","0.4399","0.4028","0.4028","0.4028","0.5023","0.5023","0.5023"
"112","","","","0.5673","0.5673","0.5673","0.5217","0.5217","0.5217","","","","","","","","","","","","","0.4422","0.4422","0.4422","0.4064","0.4064","0.4064","0.5077","0.5077","0.5077"
"113","","","","0.6001","0.6001","0.6001","0.5524","0.5524","0.5524","","","","","","","","","","","","","0.4387","0.4387","0.4387","0.4024","0.4024","0.4024","0.5017","0.5017","0.5017"
"114","","","","0.6085","0.6085","0.6085","0.5598","0.5598","0.5598","","","","","","","","","","","","","0.4279","0.4279","0.4279","0.3938","0.3938","0.3938","0.4904","0.4904","0.4904"
"115","","","","0.5577","0.5577","0.5577","0.5139","0.5139","0.5139","","","","","","","","","","","","","0.4349","0.4349","0.4349","0.3987","0.3987","0.3987","0.4988","0.4988","0.4988"
"116","","","","0.5876","0.5876","0.5876","0.5363","0.5363","0.5363","","","","","","","","","","","","","0.4399","0.4399","0.4399","0.4022","0.4022","0.4022","0.5038","0.5038","0.5038"
"117","","","","0.6107","0.6107","0.6107","0.5633","0.5633","0.5633","","","","","","","","","","","","","0.436","0.436","0.436","0.3995","0.3995","0.3995","0.5002","0.5002","0.5002"
"118","","","","0.5756","0.5756","0.5756","0.5262","0.5262","0.5262","","","","","","","","","","","","","0.4376","0.4376","0.4376","0.4008","0.4008","0.4008","0.4999","0.4999","0.4999"
"119","","","","0.5841","0.5841","0.5841","0.5404","0.5404","0.5404","","","","","","","","","","","","","0.4398","0.4398","0.4398","0.4036","0.4036","0.4036","0.5025","0.5025","0.5025"
